Run Date,Drop Location,Pickup Location,Primary Destinatiion,Secondary Destination,Vehicle Type,Event Type,Overnight,Tip Grade,Customer Type,Guide,Trip Issues,Payment Type
4/30/2015,New Bethel Church Of God,New Bethel Church Of God,Private Residence,None,Church Bus,Birthday,Yes,Medium,Referral,No,None,Check
1/27/2015,Bradford,Bradford,Carnegie Museum of Natural History,Bradford,Van - Full Size,Private,No,Medium,New,Yes,Accident,Invoiced
4/29/2014,Latrobe,Latrobe,Gettysburg National Military Park,Latrobe,Mini Bus,College,No,Medium,Referral,Yes,Personal,Credit
10/21/2013,Friendship UAME Church,Friendship UAME Church,Private Residence,None,Church Bus,Travel/Airport,Yes,None,New,No,None,Check
3/23/2014,Northampton,Northampton,Independence Hall,None,Town Car,Anniversay,Yes,Small,New,Yes,Health Related,Other
8/30/2013,Latrobe,Latrobe,Knoebels Amusement Resort,Latrobe,Wheelchair Bus,Birthday,No,Medium,Existing,No,Personal,Personal Credit Card
1/14/2014,Arnold,Arnold,The Barnes Foundation,None,Wheelchair Bus,College,Yes,Small,Referral,Yes,Health Related,Cash
3/15/2013,Franklin,Franklin,Betsy Ross House,None,Propane/Alternative,Wedding,Yes,None,Referral,No,Personal,Cash
3/1/2015,Altoona,Altoona,Lost River Caverns,Altoona,Mini Bus,Birthday,No,Small,Existing,No,None,Credit
3/9/2013,Coatesville,Coatesville,Waldameer & Water World,None,Van - Full Size,Tour,Yes,Small,Referral,Yes,Accident,Credit
8/10/2013,Johnstown,Johnstown,Waldameer & Water World,None,Limo,Private,Yes,Large,Existing,Yes,None,Invoiced
7/5/2015,Latrobe,Latrobe,Carnegie Museum of Natural History,None,Propane/Alternative,College,Yes,Small,New,Yes,Personal,Credit
9/9/2015,Corry,Corry,Crystal Cave Park,Corry,Town Car,Travel/Airport,No,Medium,New,Yes,Maintenance,Credit
6/11/2013,Northampton,Northampton,The National Civil War Museum,None,Shuttle Bus,Anniversay,Yes,Small,New,Yes,Personal,Personal Credit Card
1/21/2015,Hazleton,Hazleton,Philadelphia Museum of Art,None,Van - Full Size,Holiday,Yes,Large,New,No,Maintenance,Personal Credit Card
10/5/2014,Monongahela,Monongahela,Crystal Cave Park,None,Propane/Alternative,Athletic,Yes,Medium,New,No,Personal,Cash
9/23/2014,Clairton,Clairton,Please Touch Museum,Clairton,Shuttle Bus,Tour,No,Small,New,Yes,Health Related,Other
1/24/2014,Jeannette,Jeannette,The National Civil War Museum,None,Limo Bus,Holiday,Yes,Large,Existing,Yes,Accident,Cash
9/28/2013,Saint Joseph Rectory,Saint Joseph Rectory,Private Residence,Chester,Church Bus,Anniversay,No,Medium,New,No,None,Check
7/20/2015,Chester,Chester,Sesame Place,Chester,Wheelchair Bus,Funeral,No,None,New,No,None,Other
6/23/2015,Arron Tabernacle United Church Of Christ,Arron Tabernacle United Church Of Christ,Private Residence,None,Church Bus,Corporate,Yes,None,Referral,Yes,None,Check
10/21/2015,Lancaster,Lancaster,Brandywine River Museum,Lancaster,Mini Bus,Funeral,No,Large,New,No,Accident,Credit
