Gameday Weather,Gate,Payment Method,Product,Promotion,Season,Stand Location,Stand Number,Week,Weekday,Wining Team,Quantity
Sunny,8,Credit,Team Hat - Cap,No,2013,North,8,1,Sunday,Home,687.07
Sunny,8,Credit,Team Hat - Cap,No,2013,North,8,3,Sunday,Home,687.07
Sunny,8,Credit,Team Hat - knit,No,2013,North,8,3,Sunday,Visitor,541
Sunny,8,Credit,Team Hat - knit,No,2013,North,8,5,Sunday,Visitor,541
Sunny,8,Credit,Team Hat - knit,No,2013,North,8,6,Sunday,Visitor,541
Sunny,8,Credit,Team Hat - knit,No,2013,North,8,7,Sunday,Visitor,541
Sunny,8,Credit,Team Hat - Cap,No,2013,North,8,9,Sunday,Home,687.07
Sunny,8,Credit,Team Hat - Cap,No,2013,North,8,11,Sunday,Home,687.07
Sunny,8,Credit,Team Hat - knit,No,2013,North,8,12,Sunday,Visitor,541
Sunny,8,Credit,Team Hat - knit,No,2013,North,8,14,Sunday,Visitor,541
Sunny,8,Credit,Team Hat - Cap,No,2013,North,8,15,Sunday,Home,687.07
Sunny,8,Credit,Team Hat - Cap,No,2013,North,8,16,Sunday,Home,687.07
Sunny,8,Credit,Team Hat - knit,No,2013,North,8,17,Sunday,Visitor,541
Sunny,8,Credit,Team Hat - Cap,No,2013,North,2,1,Sunday,Home,1247.14
Sunny,8,Credit,Team Hat - Cap,No,2013,North,2,3,Sunday,Home,1247.14
Sunny,8,Credit,Team Hat - knit,No,2013,North,2,3,Sunday,Visitor,982
Sunny,8,Credit,Team Hat - knit,No,2013,North,2,5,Sunday,Visitor,982
Sunny,8,Credit,Team Hat - knit,No,2013,North,2,6,Sunday,Visitor,982
Sunny,8,Credit,Team Hat - knit,No,2013,North,2,7,Sunday,Visitor,982
Sunny,8,Credit,Team Hat - Cap,No,2013,North,2,9,Sunday,Home,1247.14
Sunny,8,Credit,Team Hat - Cap,No,2013,North,2,11,Sunday,Home,1247.14
Sunny,8,Credit,Team Hat - knit,No,2013,North,2,12,Sunday,Visitor,982
Sunny,8,Credit,Team Hat - knit,No,2013,North,2,14,Sunday,Visitor,982
Sunny,8,Credit,Team Hat - Cap,No,2013,North,2,15,Sunday,Home,1247.14
Sunny,8,Credit,Team Hat - Cap,No,2013,North,2,16,Sunday,Home,1247.14
Sunny,8,Credit,Team Hat - knit,No,2013,North,2,17,Sunday,Visitor,982
Sunny,8,Credit,Team Hat - Cap,No,2013,North,4,1,Sunday,Home,1724.66
Sunny,8,Credit,Team Hat - Cap,No,2013,North,4,3,Sunday,Home,1724.66
Sunny,8,Credit,Team Hat - knit,No,2013,North,4,3,Sunday,Visitor,1358
Sunny,8,Credit,Team Hat - knit,No,2013,North,4,5,Sunday,Visitor,1358
Sunny,8,Credit,Team Hat - knit,No,2013,North,4,6,Sunday,Visitor,1358
Sunny,8,Credit,Team Hat - knit,No,2013,North,4,7,Sunday,Visitor,1358
Sunny,8,Credit,Team Hat - Cap,No,2013,North,4,9,Sunday,Home,1724.66
Sunny,8,Credit,Team Hat - Cap,No,2013,North,4,11,Sunday,Home,1724.66
Sunny,8,Credit,Team Hat - knit,No,2013,North,4,12,Sunday,Visitor,1358
Sunny,8,Credit,Team Hat - knit,No,2013,North,4,14,Sunday,Visitor,1358
Sunny,8,Credit,Team Hat - Cap,No,2013,North,4,15,Sunday,Home,1724.66
