CoinIn,Age,Type,Theme,Location,Month,Day,Denomination,Event,Weather,Promotion,Coupons,Holiday,Smoking,Promo,coupons,weather
117,16,1,12,1,12,6,12,1,34,1,2,2,2,2,8,21
677,20,4,19,3,4,4,4,1,39,2,1,2,2,2,7,4
261,20,1,14,3,11,7,9,1,28,1,1,2,2,3,5,10
968,13,4,11,1,4,5,3,2,12,1,1,1,2,6,6,5
55,6,1,16,9,3,4,14,2,4,2,2,1,2,6,5,33
901,5,3,1,9,8,4,14,1,20,2,2,2,1,5,3,21
1650,19,1,17,4,8,6,6,2,27,1,1,2,1,6,6,1
544,9,4,19,4,8,3,8,1,30,1,2,1,1,6,9,7
246,8,5,2,9,5,4,9,2,37,2,1,1,2,1,8,34
400,3,3,12,9,7,4,9,2,26,2,2,2,1,5,6,37
1985,8,4,18,4,9,5,5,1,10,1,1,2,2,6,7,30
2169,5,3,5,5,12,5,14,2,34,1,1,2,2,5,8,9
1249,3,4,2,5,3,4,8,1,8,2,2,2,1,4,7,24
785,15,2,8,5,11,1,4,1,33,2,1,2,2,3,7,31
2138,11,2,7,7,12,2,10,1,6,1,2,1,1,1,6,7
2133,20,2,22,9,12,5,3,2,33,2,2,1,1,2,2,28
429,13,2,2,3,6,6,7,2,23,2,1,2,1,6,3,23
109,11,1,12,7,7,2,14,1,16,1,2,1,1,3,4,31
678,14,5,2,6,10,3,7,2,9,2,2,1,1,1,4,31
1377,7,1,7,6,5,3,4,2,15,1,1,2,1,5,6,16
1592,7,3,4,2,11,5,3,2,20,2,2,1,1,5,7,38
582,18,2,5,8,5,2,7,1,29,2,1,2,1,6,9,34
989,7,1,4,7,1,2,10,2,10,1,2,1,1,1,6,3
1800,4,3,11,2,10,1,14,1,14,2,2,2,1,6,6,9
2136,20,4,5,8,7,2,5,1,28,1,1,1,1,6,6,21
1209,3,1,12,9,5,6,14,2,24,2,2,1,1,1,2,1
1693,20,1,13,9,7,4,9,2,29,2,2,2,1,3,4,33
402,20,1,21,9,12,7,11,2,15,1,2,1,2,5,2,19
1553,6,2,5,5,3,7,14,2,37,2,2,2,2,3,6,15
1471,9,1,6,3,9,5,14,1,17,1,2,2,2,3,9,13
1610,1,2,22,2,11,7,7,2,29,2,2,1,2,2,4,25
356,1,2,2,7,2,3,8,1,26,2,1,2,1,4,8,27
288,5,1,20,8,5,4,10,2,39,2,2,1,2,5,5,5
2157,13,2,19,2,3,5,5,1,17,1,2,1,1,3,4,14
237,15,5,3,1,7,2,2,1,38,2,1,2,2,4,2,10
709,6,1,22,1,8,5,11,1,30,1,1,1,1,4,3,34
495,11,3,22,8,2,1,2,1,20,1,2,1,2,3,8,31
2160,9,1,3,3,1,5,7,1,29,1,1,2,1,4,9,7
984,16,5,14,4,4,4,6,2,35,2,2,1,2,6,6,38
1986,5,4,19,1,9,7,3,1,12,2,2,1,2,6,3,26
2037,14,1,3,8,2,5,10,2,4,1,2,1,2,4,3,10
2001,14,5,22,2,1,2,5,1,23,2,1,1,1,6,9,27
1182,8,2,9,8,5,3,12,1,12,2,2,1,2,2,9,5
1423,4,5,17,2,7,4,14,2,33,1,1,1,2,5,2,25
1468,13,4,13,5,8,7,2,1,5,1,2,2,2,1,8,13
870,17,1,16,8,1,6,14,1,30,2,2,2,1,4,2,15
2115,19,1,7,9,5,2,8,1,11,2,1,2,2,1,8,10
714,18,1,18,7,3,4,10,2,8,2,2,1,1,3,4,9
917,17,3,10,1,9,4,4,2,32,1,2,1,1,2,4,6
2135,13,5,1,4,7,4,11,2,16,2,1,1,2,2,4,18
1369,5,5,14,6,5,2,12,1,6,2,2,2,1,3,7,20
750,12,3,11,9,1,3,2,2,34,1,2,2,1,3,5,7
875,3,5,22,7,9,2,6,1,7,2,1,2,1,3,8,39
1326,1,1,19,1,10,3,2,2,40,1,1,2,2,4,7,38
120,16,4,9,9,12,4,13,1,16,2,2,1,2,1,9,38
62,12,2,12,9,9,1,14,2,5,1,2,2,2,6,5,22
217,15,1,2,6,1,5,11,1,30,1,2,1,2,4,3,16
444,3,1,17,2,5,1,7,2,25,1,1,2,1,6,3,36
1117,2,3,21,7,3,4,4,2,20,1,2,2,2,2,9,9
398,2,5,19,3,5,2,2,2,5,1,1,2,2,1,8,25
1983,10,4,4,2,4,6,12,1,35,2,1,1,2,3,3,7
777,12,4,2,4,7,4,14,1,14,1,1,2,2,6,9,36
2044,2,2,20,6,12,5,14,1,18,2,1,2,1,4,5,14
1451,1,2,7,5,12,5,7,1,27,2,1,1,1,6,9,5
919,19,3,19,4,1,5,3,1,13,1,2,2,1,6,2,35
766,6,3,11,3,1,1,7,2,33,1,1,2,2,4,8,14
508,3,4,21,5,4,4,5,2,29,2,2,2,2,6,4,8
1998,7,1,16,3,12,3,14,1,26,2,2,2,1,1,6,1
37,5,3,12,6,9,6,10,2,26,2,2,1,1,2,5,28
793,18,2,1,3,11,4,14,2,40,1,2,1,2,4,4,39
825,12,2,17,3,2,7,4,2,29,1,1,1,1,1,5,15
937,4,4,6,1,9,2,2,1,35,2,1,1,1,6,3,19
894,4,4,8,7,6,6,11,1,27,1,1,1,1,5,4,32
1586,14,3,18,4,12,5,6,2,34,2,1,1,1,2,9,30
1200,9,5,16,3,2,3,13,2,14,2,1,1,1,6,7,7
591,11,3,4,9,7,1,12,1,9,2,2,1,1,1,5,2
1773,10,2,19,3,10,1,5,1,32,1,1,2,1,1,9,26
1391,9,1,5,4,8,2,9,1,22,2,2,1,2,1,8,9
72,3,2,4,9,8,1,5,1,36,1,2,1,1,3,2,34
1169,19,1,6,6,7,6,9,1,26,2,1,1,1,3,7,21
665,1,5,2,7,1,5,12,1,2,1,1,2,2,6,4,29
381,4,4,3,3,11,4,14,1,39,1,2,2,2,4,5,8
1973,20,2,1,1,5,2,11,1,1,2,1,1,2,6,7,36
2091,12,4,9,8,9,4,4,1,32,2,2,1,1,3,6,19
2178,18,3,13,7,5,2,12,2,1,1,1,2,2,1,5,18
1061,8,5,4,4,7,4,6,2,25,2,2,1,2,6,2,10
278,7,5,13,3,6,4,10,1,8,1,2,2,2,1,8,13
638,5,1,5,7,5,3,8,2,34,2,1,2,2,4,3,12
1553,2,2,10,8,9,5,9,1,10,2,1,2,1,5,4,5
1516,16,5,4,2,6,3,8,1,31,2,1,2,2,2,3,7
739,9,2,6,1,5,6,14,2,13,1,2,1,1,6,6,16
39,11,5,22,2,9,4,6,2,26,2,1,2,1,3,9,22
155,10,5,5,9,3,1,6,1,38,1,2,2,1,2,7,37
925,4,1,10,1,7,6,9,2,25,1,2,1,2,1,5,23
329,8,3,11,3,6,4,12,2,36,1,1,2,2,1,3,38
371,18,1,12,9,5,3,10,1,36,2,1,2,1,6,9,1
1710,7,5,15,2,11,3,9,1,5,1,2,2,1,5,5,31
1552,19,3,13,2,6,7,13,1,15,2,1,1,1,6,8,10
1190,19,3,20,8,5,7,11,1,4,2,1,1,1,5,9,15
518,4,4,11,4,2,4,5,1,22,2,2,2,2,5,6,38
