Major,Location,Residence,Scholarship,Sex,Type,Type,Enrollment Age,Marital Status,Enrollment Data,Sponsor,Credits Attempted,Credits Completed,Credits Dropped,GPA Current,GPA Average,Number o fSportq,Intermural,Number of Clubes,Expected Graduation Date,Class Of,Actual Graduation Date,comments are well thought out and clearly articulated
"Foreign Languages, Literatures, and Linguistics",Tennessee,On-Campus Dorm,Other,Female,FT,Non-Athlete,20,M,1987,,141,75,11,2.6,1.7,1,2,3,1991,91,1993,
All Majors,New York,Off-Campus University Housing,None,Male,FT,Non-Athlete,25,M,1987,,122,76,38,1.2,2.5,4,1,0,1991,91,1992,
"Communication, Journalism, and Related Programs",Rhode Island,Commuter,University,Male,FT,Athelete,23,S,1992,,121,36,75,3.7,3.6,4,1,4,1996,96,1999,
Engineering,Alabama,On-Campus University Housing,None,Male,FT,Athlete,18,S,1989,,99,67,4,3.5,3,2,2,4,1993,93,1997,demonstrated particular strengths in
"Area, Ethnic, Cultural, Gender, and Group Studies",West Virginia,Commuter,None,Male,PT,Non-Athlete,22,S,1999,,143,4,8,1.2,1.8,0,2,4,2003,3,2003,
All Majors,West Virginia,Commuter,None,Male,FT,Non-Athlete,24,M,1994,,112,26,78,1.4,1.3,2,1,0,1998,98,1999,
Engineering Technologies and Engineering-Related Fields,Michigan,On-Campus University Housing,Private,Male,PT,Athlete,19,M,1986,,20,2,18,0.75,3.8,4,1,4,1990,90,1994,have no hesitation in recommending
Education,Maryland,Off-Campus University Housing,None,Male,FT,Non-Athlete,20,S,1991,,34,11,6,3.6,,4,2,1,1995,95,1997,have known Ms. Doe for
Engineering,Louisiana,Off-Campus University Housing,All Scholarship Types,Female,FT,Athlete,17,M,1995,,34,5,20,2.3,3.3,2,2,0,1999,99,2000,
Engineering Technologies and Engineering-Related Fields,Nebraska,Off-Campus Other,University,Male,PT,Athelete,17,M,2005,,89,15,66,3.2,3.8,4,1,4,2009,9,2013,
"Foreign Languages, Literatures, and Linguistics",Arizona,On-Campus University Housing,Other,Male,FT,Non-Athlete,24,S,1992,,142,15,52,3.1,2.1,2,1,3,1996,96,1997,
Liberal Arts and Sciences Studies and Humanities,Marshall Islands,On-Campus University Housing,University,Male,PT,Athelete,20,S,1992,,50,23,21,2,3.4,0,1,3,1996,96,1997,have known Ms. Doe for
Engineering Technologies and Engineering-Related Fields,California,Off-Campus University Housing,None,Female,PT,Athelete,24,S,2000,,84,74,9,2.9,3.4,3,1,2,2004,4,2008,
History,Guam,Off-Campus University Housing,None,Female,PT,Athelete,23,M,1986,,55,25,3,3.7,3.1,3,1,4,1990,90,1992,
Military Technologies and Applied Sciences,Arizona,On-Campus University Housing,Other,Female,FT,Athelete,17,M,2000,,104,75,1,2.5,3.8,0,1,3,2004,4,2007,can offer only the highest recommendation for
"Business, Management, Marketing, and Related Support Services",Marshall Islands,Commuter,Private,Female,PT,Athelete,25,M,1992,,60,16,32,1.3,3.8,2,2,3,1996,96,2000,
Communications Technologies/technicians and Support Services,Maryland,Off-Campus Other,None,Male,PT,Athlete,20,S,1999,,37,22,15,1.6,4,2,2,0,2003,3,2006,"comparable to peers,"
English Language and Literature/letters,Arizona,On-Campus Dorm,Other,Male,FT,Athelete,23,S,2004,,147,103,20,2,4,2,1,4,2008,8,2009,
