Major,Location,Residence,Scholarship,Sex,Status,Type,Enrollment Age,Marital Status,Enrollment Date,Sponsor,Credits Attempted,Credits Completed,Credits Dropped, Current GPA,Average GPA,Number of Sports,Intermural Participant,Number of Clubs,Expected Graduation Date,Class o f,Actual Graduation Date,Comments,Age,Is Underage Drinking OK,Has Drank O nCampus,Number of Drinks Per Week,Has been intoxicated,Has Purchased Alcohol
Foreign Languages  Literatures and Linguistics,Tennessee,On-Campus Dorm,Other,Female,FT,Non-Athlete,20,M,1987,,141,75,11,2.6,1.7,1,2,3,1991,91,1993,,23,UnSure,no,3,Yes,no
All Majors,New York,Off-Campus University Housing,None,Male,FT,Non-Athlete,25,M,1987,,122,76,38,1.2,2.5,4,1,0,1991,91,1992,,28,Yes,no,3,Yes,no
Communication Journalism and Related Programs,Rhode Island,Commuter,University,Male,FT,Athelete,23,S,1992,,121,36,75,3.7,3.6,4,1,4,1996,96,1999,,23,Yes,no,2,No comment,No comment
Engineering,Alabama,On-Campus University Housing,None,Male,FT,All,18,S,1989,,99,67,4,3.5,3,2,2,4,1993,93,1997,demonstrated particular strengths in,18,Yes,,3,Yes,
Area- Ethnic- Cultural- Gender- and Group Studies,West Virginia,Commuter,None,Male,PT,Non-Athlete,22,S,1999,,143,4,8,1.2,1.8,0,2,4,2003,3,2003,,23,UnSure,Yes,2,No comment,Yes
All Majors,West Virginia,Commuter,None,Male,FT,Non-Athlete,24,M,1994,,112,26,78,1.4,1.3,2,1,0,1998,98,1999,,26,UnSure,No comment,2,Yes,Yes
Engineering Technologies and Engineering-Related Fields,Michigan,On-Campus University Housing,Private,Female,PT,All,19,M,1986,,20,2,18,0.75,3.8,4,1,4,1990,90,1994,have no hesitation in recommending,20,UnSure,,2,No comment,
Education,Maryland,Off-Campus University Housing,None,Male,FT,Non-Athlete,20,S,1991,,34,11,6,3.6,,4,2,1,1995,95,1997,have known Ms. Doe for,22,UnSure,no,2,Yes,no
Engineering,Louisiana,Off-Campus University Housing,All Scholarship Types,Female,FT,All,17,M,1995,,34,5,20,2.3,3.3,2,2,0,1999,99,2000,,19,Yes,,2,Yes,
Engineering Technologies and Engineering-Related Fields,Nebraska,Off-Campus Other,University,Male,PT,Athelete,17,M,2005,,89,15,66,3.2,3.8,4,1,4,2009,9,2013,,20,Yes,,1,No comment,
Foreign Languages Literatures and Linguistics,Arizona,On-Campus University Housing,Other,Male,FT,Non-Athlete,24,S,1992,,142,15,52,3.1,2.1,2,1,3,1996,96,1997,,26,Yes,no,1,Yes,no
Liberal Arts and Sciences Studies and Humanities,Marshall Islands,On-Campus University Housing,University,Male,PT,Athelete,20,S,1992,,50,23,21,2,3.4,0,1,3,1996,96,1997,have known Ms. Doe for,23,Yes,Yes,3,Yes,Yes
Engineering Technologies and Engineering-Related Fields,California,Off-Campus University Housing,None,Female,PT,Athelete,24,S,2000,,84,74,9,2.9,3.4,3,1,2,2004,4,2008,,26,Yes,No comment,3,Yes,No comment
History,Guam,Off-Campus University Housing,None,Female,PT,Athelete,23,M,1986,,55,25,3,3.7,3.1,3,1,4,1990,90,1992,,24,UnSure,Yes,1,Yes,no
Military Technologies and Applied Sciences,Arizona,On-Campus University Housing,Other,Female,FT,Athelete,17,M,2000,,104,75,1,2.5,3.8,0,1,3,2004,4,2007,can offer only the highest recommendation for,18,UnSure,,2,No comment,
Business Management Marketing and Related Support Services,Marshall Islands,Commuter,Private,Female,PT,Athelete,25,M,1992,,60,16,32,1.3,3.8,2,2,3,1996,96,2000,,26,Yes,Yes,1,Yes,No comment
Communications Technologies/technicians and Support Services,Maryland,Off-Campus Other,None,Male,PT,All,20,S,1999,,37,22,15,1.6,4,2,2,0,2003,3,2006,comparable to peers-,20,UnSure,,1,Yes,
English Language and Literature/letters,Arizona,On-Campus Dorm,Other,Male,FT,Athelete,23,S,2004,,147,103,20,2,4,2,1,4,2008,8,2009,,25,Yes,Yes,1,Yes,no
Mathematics and Statistics,Maine,Off-Campus University Housing,None,Female,FT,All,19,S,1987,,88,49,24,3.1,3.5,2,1,0,1991,91,1993,,20,Yes,,2,no,
Legal Professions and Studies,New Jersey,Off-Campus Other,University,Female,FT,Athelete,24,S,1987,,93,82,7,1.6,3.8,1,1,2,1991,91,1994,communicates her ideas clearly,26,Yes,No comment,2,Yes,Yes
All Majors,Texas,On-Campus University Housing,University,Male,FT,RA,17,M,1995,,42,21,12,3,,3,2,4,1999,99,2000,,21,Yes,Yes,3,Yes,Yes
English Language and Literature/letters,Alaska,On-Campus Dorm,Private,Female,PT,RA,24,S,1985,,8,3,1,2.9,2,0,2,0,1989,89,1992,,25,Yes,no,2,No comment,Yes
Biological and Biomedical Sciences,Indiana,Off-Campus University Housing,All Scholarship Types,Male,FT,Athelete,24,M,1991,,6,4,1,3.3,3.7,3,2,4,1995,95,1997,,25,UnSure,Yes,3,Yes,no
Construction Trades,Mississippi,Off-Campus Other,All Scholarship Types,Female,FT,Non-Athlete,21,S,1989,,43,29,3,3.3,3.1,0,1,4,1993,93,1995,,24,Yes,Yes,3,no,No comment
Construction Trades,Arkansas,Off-Campus Other,All Scholarship Types,Female,FT,Athelete,18,M,1997,,142,2,49,1.2,3.6,3,2,2,2001,1,2004,have no hesitation in recommending,20,Yes,,3,Yes,
Multi/interdisciplinary Studies,Connecticut,Off-Campus University Housing,None,Female,PT,Non-Athlete,25,M,1996,,135,87,13,,3.8,4,1,4,2000,0,2004,,26,Yes,no,2,No comment,No comment
English Language and Literature/letters,Dist. of Columbia,Commuter,None,Female,PT,RA,19,M,1999,,130,64,15,3.6,3.6,0,1,3,2003,3,2007,,23,Yes,Yes,3,no,no
Multi/interdisciplinary Studies,Palau,On-Campus Dorm,None,Male,PT,RA,22,S,2004,,101,84,12,1.3,3.5,1,1,4,2008,8,2011,,24,UnSure,No comment,3,Yes,No comment
Communication Journalism and Related Programs,Wyoming,Off-Campus University Housing,Private,Male,PT,Athelete,23,S,1992,,108,52,40,3.2,3.4,0,2,1,1996,96,1999,self-motivated individual,24,Yes,no,3,Yes,no
Undeclared,New Jersey,On-Campus University Housing,All Scholarship Types,Female,PT,All,25,M,1989,,33,18,1,2,3.7,4,2,0,1993,93,1995,Applies themself,29,Yes,No comment,2,No comment,no
Business Management Marketing and Related Support Services,New York,Off-Campus Other,Private,Female,FT,Non-Athlete,19,M,1988,,110,31,25,2.5,1.1,2,2,3,1992,92,1993,if you have further questions,21,Yes,No comment,2,No comment,No comment
Engineering Technologies and Engineering-Related Fields,Hawaii,On-Campus University Housing,None,Female,FT,Non-Athlete,25,M,1987,,14,4,1,2.4,0.75,4,1,1,1991,91,1995,,27,Yes,Yes,1,no,Yes
Engineering,New Mexico,On-Campus Dorm,Private,Female,PT,Athelete,22,S,1986,,29,8,16,2.9,3.9,3,1,2,1990,90,1992,is intelligent and ambitious,26,UnSure,no,3,Yes,Yes
Area- Ethnic- Cultural- Gender- and Group Studies,Virginia,On-Campus University Housing,None,Female,FT,RA,19,S,2002,,23,20,3,2.2,2.6,0,1,1,2006,6,2006,,20,UnSure,,1,no,
Foreign Languages Literatures and Linguistics,All Locations,Off-Campus Other,University,Female,FT,Athelete,18,S,1999,,15,1,2,2.1,3.6,0,2,3,2003,3,2007,broad range of skills,22,Yes,no,2,No comment,no
All Majors,Arizona,Commuter,All Scholarship Types,Female,PT,Athelete,21,S,2004,,15,11,2,1.4,3.4,2,1,4,2008,8,2008,,24,Yes,No comment,3,No comment,No comment
Engineering Technologies and Engineering-Related Fields,North Carolina,Commuter,Private,Female,FT,Non-Athlete,17,S,1998,,90,42,18,1.2,1.1,0,1,2,2002,2,2005,,17,Yes,,1,no,
All Majors,Montana,Commuter,All Scholarship Types,Female,FT,Athelete,18,M,2004,,32,31,1,2.2,3.4,4,2,4,2008,8,2008,,20,Yes,,1,no,
Computer and Information Sciences and Support Services,Florida,Off-Campus Other,All Scholarship Types,Female,FT,All,25,M,1997,,133,128,4,1.2,1.2,3,1,2,2001,1,2001,,29,UnSure,Yes,2,no,No comment
Multi/interdisciplinary Studies,All Locations,Commuter,University,Male,PT,Athelete,24,S,1987,,95,9,20,1.4,3.7,0,1,0,1991,91,1993,careful attention to detail,28,UnSure,Yes,1,Yes,No comment
Human Services,Massachusetts,Off-Campus Other,Other,Female,PT,Athelete,23,M,2001,,18,5,6,1.1,3.6,3,2,2,2005,5,2005,communicates her ideas clearly,25,Yes,Yes,3,no,No comment
Foreign Languages Literatures and Linguistics,Missouri,Off-Campus University Housing,All Scholarship Types,Male,FT,Athelete,18,S,2000,,27,18,8,2.8,3.6,3,1,4,2004,4,2005,,22,Yes,Yes,3,No comment,no
Agriculture- Agriculture Operations- and Related Sciences,Kentucky,Commuter,Other,Male,PT,All,18,M,1994,,121,104,4,1.2,1.5,4,1,2,1998,98,2001,,19,Yes,,3,Yes,
Liberal Arts and Sciences Studies and Humanities,Texas,On-Campus University Housing,Other,Male,FT,Non-Athlete,23,S,2004,,33,8,5,2.8,3.1,2,2,0,2008,8,2012,hope this information proves helpful,23,Yes,no,1,No comment,Yes
Mechanic and Repair Technologies/technicians,North Dakota,Commuter,All Scholarship Types,Female,FT,All,22,S,2004,,12,2,9,3.3,3.5,4,1,1,2008,8,2011,,23,Yes,no,3,Yes,no
Aviation,Maine,On-Campus University Housing,Private,Female,FT,All,21,S,1987,,62,43,10,2.1,3.1,3,2,1,1991,91,1995,,22,Yes,Yes,1,Yes,Yes
Agriculture- Agriculture Operations- and Related Sciences,Massachusetts,Off-Campus University Housing,Private,Male,FT,RA,17,S,1996,,39,14,11,1.7,3.4,0,1,0,2000,0,2004,,19,UnSure,,2,Yes,
Computer and Information Sciences and Support Services,Arkansas,On-Campus Dorm,None,Male,PT,Non-Athlete,23,S,2005,,48,40,6,2.8,2.5,1,2,0,2009,9,2009,writes sentence or paragraph,27,Yes,no,1,No comment,No comment
Computer and Information Sciences and Support Services,American,On-Campus University Housing,University,Female,PT,RA,21,M,1985,,23,22,0,2.2,1.6,3,2,1,1989,89,1990,,24,Yes,Yes,3,no,Yes
Computer and Information Sciences and Support Services,Connecticut,On-Campus Dorm,Private,Male,FT,Non-Athlete,19,S,1985,,25,2,5,1.4,2.5,3,1,2,1989,89,1992,one of our finest- most well-rounded undergraduates,21,UnSure,no,3,No comment,Yes
Human Services,Puerto Rico,Off-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,25,M,2000,,124,76,37,2.4,3.6,1,2,0,2004,4,2008,,25,Yes,Yes,2,No comment,no
Health Professions and Related Programs,California,Off-Campus University Housing,None,Male,FT,Athelete,23,M,1992,,85,64,1,3.6,3.3,0,2,0,1996,96,2000,careful attention to detail,24,Yes,Yes,3,Yes,no
All Majors,North Dakota,Off-Campus University Housing,None,Female,FT,All,25,M,1987,,52,29,20,1.4,3.1,0,1,2,1991,91,1992,,28,Yes,no,2,no,no
Communications Technologies/technicians and Support Services,Nevada,On-Campus Dorm,Other,Female,FT,RA,24,S,1986,,123,41,7,3.9,2.5,2,1,2,1990,90,1991,first became acquainted with,25,Yes,Yes,2,No comment,No comment
Agriculture- Agriculture Operations- and Related Sciences,Maryland,Off-Campus Other,Private,Male,PT,RA,20,S,2003,,39,31,2,3.4,1.6,0,1,4,2007,7,2007,,21,Yes,No comment,2,Yes,no
Undeclared,Iowa,Off-Campus Other,All Scholarship Types,Female,FT,Athelete,20,M,1986,,80,74,5,4,3.8,4,2,4,1990,90,1994,,23,Yes,Yes,2,no,No comment
Construction Trades,Northern Marianas,Off-Campus University Housing,None,Male,PT,All,17,M,2005,,102,54,31,1.4,2.6,2,2,3,2009,9,2010,,18,Yes,,1,Yes,
Agriculture- Agriculture Operations- and Related Sciences,Nebraska,On-Campus Dorm,All Scholarship Types,Male,PT,Athelete,25,S,1986,,89,75,4,1.5,3.7,3,1,4,1990,90,1990,,28,Yes,No comment,3,Yes,no
Construction Trades,Vermont,On-Campus Dorm,None,Male,PT,All,23,M,1990,,105,38,6,2.6,2.4,0,1,4,1994,94,1997,,27,UnSure,Yes,2,Yes,Yes
Mechanic and Repair Technologies/technicians,Connecticut,Commuter,Private,Male,PT,RA,21,M,1998,,138,91,22,2,1.6,4,2,4,2002,2,2003,is personable and easy to work with,23,Yes,Yes,1,Yes,Yes
Agriculture- Agriculture Operations- and Related Sciences,Tennessee,On-Campus University Housing,All Scholarship Types,Female,FT,Athelete,23,S,1986,,19,0,6,1.5,3.9,2,2,3,1990,90,1994,outstanding leadership abilities,26,Yes,No comment,1,No comment,no
History,Arizona,Off-Campus Other,Other,Male,PT,Non-Athlete,18,M,1988,,5,5,0,2.7,3.9,0,1,0,1992,92,1992,if you need additional information,22,Yes,Yes,2,Yes,No comment
Family and Consumer Sciences/human Sciences,Alaska,Commuter,Private,Female,FT,Athelete,21,S,1996,,122,82,30,3.4,,1,1,3,2000,0,2002,writes sentence or paragraph,22,Yes,no,3,Yes,Yes
Multi/interdisciplinary Studies,Colorado,On-Campus University Housing,Private,Male,PT,Athelete,24,M,1995,,77,16,57,1.4,3.3,2,1,3,1999,99,2003,communicates her ideas clearly,28,Yes,No comment,2,Yes,No comment
Engineering Technologies and Engineering-Related Fields,Pennsylvania,Commuter,All Scholarship Types,Female,FT,All,18,S,1993,,89,18,25,2.8,3.3,4,1,2,1997,97,1999,has a take-charge personality,22,Yes,No comment,3,no,no
Liberal Arts and Sciences Studies and Humanities,Maine,Commuter,None,Male,FT,Non-Athlete,17,M,1988,,149,53,22,2.5,2.2,0,2,0,1992,92,1992,Health issues,17,Yes,,3,No comment,
Foreign Languages Literatures and Linguistics,Nevada,Commuter,All Scholarship Types,Female,PT,All,20,M,1985,,135,52,11,2.5,2.6,1,2,4,1989,89,1991,am pleased to comment on,24,Yes,no,2,no,no
Business Management Marketing and Related Support Services,New York,Commuter,None,Male,FT,Athelete,17,M,1988,,85,6,32,1.5,3.8,2,2,1,1992,92,1993,am honored to support him as a student,17,UnSure,,3,Yes,
Area- Ethnic- Cultural- Gender- and Group Studies,Alabama,Off-Campus Other,University,Female,FT,Athelete,20,S,1995,,80,3,23,1.9,3.7,0,1,0,1999,99,2003,recommend without reservation,21,Yes,Yes,1,Yes,No comment
Education,Alabama,Commuter,Other,Female,PT,Non-Athlete,24,S,1990,,147,134,7,3,1.3,2,1,2,1994,94,1995,,25,UnSure,Yes,2,Yes,Yes
Mathematics and Statistics,Massachusetts,Off-Campus Other,None,Female,PT,Non-Athlete,24,M,2002,,111,10,2,2,3.4,1,1,1,2006,6,2010,,27,UnSure,no,2,Yes,no
Construction Trades,Maine,Commuter,None,Male,PT,RA,22,M,2000,,65,54,2,2,2.8,4,2,1,2004,4,2007,willing to take on new responsibilities,25,Yes,Yes,3,No comment,No comment
Biological and Biomedical Sciences,California,Off-Campus University Housing,Other,Female,FT,Non-Athlete,20,S,1987,,115,86,12,2.1,1.2,4,2,0,1991,91,1995,should you have any questions,22,Yes,Yes,3,Yes,No comment
Business Management Marketing and Related Support Services,Minnesota,Off-Campus Other,Private,Male,FT,RA,19,S,2001,,82,37,6,1.4,2.2,1,1,3,2005,5,2008,is innovative and creative,19,Yes,,3,Yes,
Legal Professions and Studies,Maine,Off-Campus University Housing,Private,Male,PT,Non-Athlete,18,M,1997,,30,19,3,3.9,2.5,2,1,2,2001,1,2003,,22,UnSure,Yes,1,Yes,Yes
Family and Consumer Sciences/human Sciences,Arkansas,Off-Campus University Housing,Private,Male,FT,All,17,M,1992,,146,14,36,2.8,2.2,2,2,4,1996,96,1996,outstanding leadership abilities,17,UnSure,,1,No comment,
Communication Journalism and Related Programs,North Dakota,Off-Campus University Housing,Private,Female,FT,Athelete,24,M,1999,,58,41,6,1,3.8,4,1,0,2003,3,2007,,27,UnSure,no,1,No comment,no
